Compound,NIST_Link
"4-Propyl-1,1'-diphenyl","https://webbook.nist.gov/cgi/cbook.cgi?Name=4-Propyl-1,1'-diphenyl&Units=SI"
"SPIRO[BICYCLO[3.2.0]HEPT-6-ENE-2,1'-CYCLOPROPANE], 1,4,4-TRIMETHYL-",Compound not found
"Carbonic acid, tetradecyl vinyl ester","https://webbook.nist.gov/cgi/cbook.cgi?Name=Carbonic acid, tetradecyl vinyl ester&Units=SI"
"3-Nitroaniline, N-trimethylsilyl-",Compound not found
"Cyclopentanol, 2,4,4-trimethyl-","https://webbook.nist.gov/cgi/cbook.cgi?Name=Cyclopentanol, 2,4,4-trimethyl-&Units=SI"
1-[(4-Fluorophenyl)methyl]guanidine,Compound not found
"10-Iodo-2-oxa-7-thia-tricyclo[4.3.1.0(3,8)]decane 7-oxide",Compound not found
Benomyl,https://webbook.nist.gov/cgi/cbook.cgi?Name=Benomyl&Units=SI
a-PHENYLCYCLOHEXANONE,Compound not found
"Tricyclo[7.4.1.1(2,7)]pentadeca-2,4,6,9,11,13-hexaene-8-ol",Compound not found
L-Tyrosine,https://webbook.nist.gov/cgi/cbook.cgi?Name=L-Tyrosine&Units=SI
"BENZENEBUTANOIC ACID, ß-[(4-METHYLPHENYL)SULFONYL]-?-OXO-, ETHYL ESTER",Compound not found
"BICYCLO[2.2.1]HEPTAN-2-ONE, 1,3,3-TRIMETHYL-","https://webbook.nist.gov/cgi/cbook.cgi?Name=BICYCLO[2.2.1]HEPTAN-2-ONE, 1,3,3-TRIMETHYL-&Units=SI"
"BENZENE, 2-(1-DECYL-1-UNDECENYL)-1,4-DIMETHYL-","https://webbook.nist.gov/cgi/cbook.cgi?Name=BENZENE, 2-(1-DECYL-1-UNDECENYL)-1,4-DIMETHYL-&Units=SI"
"1,1':3',1""-TERCYCLOPENTANE, 2'-DODECYL-",Compound not found
